Recipe,Ingredients,Calories,Protein,Carbs,Fats
Taco Night,"Steak, Potatoes, Asparagus",500,25,60,20
Spaghetti Bolognese,"Salmon, Asparagus, Lemon",350,30,20,15
Chicken Mushroom Rice,"Potato, Bacon, Sour Cream",200,10,25,5
Chicken Curry,"Ground Beef, Tomato Sauce, Onion",450,25,50,20
Pepper Beef,"Beef, Broccoli, Soy Sauce",400,35,5,25
Salad,"Lettuce, Tomato, Cucumber",300,15,35,10
Pasta,"Pasta, Tomato Sauce, Cheese",600,30,50,25
Smoothie,"Banana, Milk, Honey",250,10,30,5
Soup,"Carrot, Onion, Chicken",500,25,60,15
Bowl,"Rice, Beans, Avocado",200,5,10,15
Sandwich,"Bread, Peanut Butter, Jelly",300,10,40,10
Oatmeal,"Apple, Cinnamon, Oats",700,40,30,35
Scramble,"Spinach, Egg, Mushroom",350,15,35,15
Stir-fry,"Beef, Broccoli, Soy Sauce",150,10,20,5
Grilled Fish,"Salmon, Lemon, Dill",200,15,5,10
Salad,"Quinoa, Kale, Feta",400,20,30,15
Loaded Potatoes,"Potato, Bacon, Sour Cream",600,40,40,25
Turkey Sandwich,"Turkey, Cranberry, Bread",200,10,5,15
Yogurt Parfait,"Yogurt, Granola, Berries",350,25,20,15
Stir-fry,"Pork, Pineapple, Bell Pepper",250,10,30,10
Garlic Shrimp,"Shrimp, Garlic, Butter",550,35,50,25
Lamb Chops,"Lamb, Mint, Yogurt",400,30,20,20
Tuna Salad,"Tuna, Mayo, Celery",250,10,30,10
Tofu Stir-fry,"Tofu, Soy Sauce, Ginger",650,35,50,25
BBQ Chicken,"Chicken, BBQ Sauce, Corn",550,35,40,25
Tacos,"Beef, Taco Seasoning, Tortilla",600,35,40,25
Omelette,"Egg, Cheese, Ham",350,15,35,10
Breakfast Bowl,"Milk, Cereal, Banana",150,10,20,5
Asian Salmon,"Salmon, Soy Sauce, Ginger",500,20,60,20
Chicken Parmesan,"Chicken, Parmesan, Breadcrumbs",300,15,10,10
Pasta Alfredo,"Pasta, Alfredo Sauce, Broccoli",700,40,30,35
Chicken Pesto,"Chicken, Pesto, Mozzarella",800,50,25,40
Spaghetti Bolognese,"Ground Beef, Tomato Sauce, Onion",300,10,35,10
Chicken Mushroom Rice,"Chicken, Mushroom, Rice",700,35,20,35
Pasta Pesto,"Pasta, Pesto, Parmesan",400,15,50,20
Garlic Shrimp,"Shrimp, Butter, Lemon",350,15,25,10
Honey Pork,"Pork, Honey, Mustard",500,25,40,15
Turkey Dinner,"Turkey, Stuffing, Gravy",600,30,30,25
Steak Dinner,"Steak, Potatoes, Asparagus",700,40,50,35
Chicken Curry,"Chicken, Curry Sauce, Rice",450,30,60,20
Rosemary Lamb,"Lamb, Rosemary, Garlic",300,10,25,10
Pepper Beef,"Beef, Onion, Bell Pepper",600,40,50,25
Teriyaki Chicken,"Chicken, Teriyaki Sauce, Broccoli",200,5,30,5
Lemon Salmon,"Salmon, Asparagus, Lemon",250,15,5,15
Shrimp Alfredo,"Shrimp, Pasta, Alfredo Sauce",100,5,10,5
Spaghetti Marinara,"Pasta, Marinara, Meatballs",400,15,40,15
Buffalo Chicken,"Chicken, Buffalo Sauce, Blue Cheese",300,10,20,20
Caesar Chicken Salad,"Chicken, Caesar Dressing, Romaine",500,25,40,25
Chicken Alfredo,"Chicken, Alfredo Sauce, Spinach",600,30,50,25
Taco Night,"Ground Beef, Taco Seasoning, Tortilla",550,35,50,20
BBQ Chicken Pizza,"Chicken, BBQ Sauce, Pineapple",700,25,30,35
Chicken Fajitas,"Chicken, Fajita Seasoning, Bell Pepper",500,20,40,20
Beef Stir-fry,"Beef, Broccoli, Soy Sauce",400,20,40,15
Mushroom Chicken,"Chicken, Alfredo Sauce, Mushroom",500,25,50,25
Curry Chicken,"Chicken, Curry Sauce, Rice",300,15,30,10
Chicken Parmesan,"Chicken, Parmesan, Mozzarella",450,20,60,25
